,TournamentID,TournamentName,StartDate,EndDate,IsOver,IsInProgress,CourseName,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,tournamentName_Clean,tournamentName,courseName,courseLocation
0,625,Ryder Cup,2025-09-28,2025-09-30,False,False,Bethpage Black,"Farmingdale, NY",70.0,7459.0,,,False,False,,,,,,TeamMatch,,Limited,The Ryder Cup,,Bethpage State Park,"Bethpage, NY"
1,576,The Presidents Cup,2024-09-26,2024-09-29,False,False,The Royal Montreal Golf Club,Montreal,,,,,False,False,Quebec,,,Canada,,TeamMatch,,Limited,The Presidents Cup,,The Royal Montreal Golf Club,Montreal
2,614,TOUR Championship,2024-08-29,2024-09-01,False,False,East Lake Golf Club,"Atlanta, GA",70.0,7346.0,,,False,True,Atlanta,GA,,USA,America/New York,Stroke,,Full,The TOUR Championship,TOUR Championship,East Lake Golf Club,"Atlanta, GA"
3,613,BMW Championship,2024-08-22,2024-08-25,False,False,Castle Pines Golf Club,"Castle Rock, CO",,,20000000.0,,False,True,Castle Rock,CO,,USA,America/Denver,Stroke,,Full,BMW PGA Championship,BMW Championship,Castle Pines Golf Club,"Castle Rock, CO"
4,612,FedEx St. Jude Championship,2024-08-15,2024-08-18,False,False,TPC Southwind,"Memphis, TN",70.0,7243.0,20000000.0,,False,True,Memphis,TN,,USA,America/Chicago,Stroke,,Full,St. Jude Championship,FedEx St. Jude Championship,TPC Southwind,"Memphis, TN"
5,611,Wyndham Championship,2024-08-08,2024-08-11,False,False,Sedgefield Country Club,"Greensboro, NC",70.0,7131.0,7900000.0,,False,True,Greensboro,NC,,USA,America/New York,Stroke,,Full,Wyndham Championship,Wyndham Championship,Sedgefield Country Club,"Greensboro, NC"
6,626,Olympic Men's Golf Competition,2024-08-01,2024-08-04,False,False,Le Golf National,"Paris, Fra",71.0,7214.0,,,,True,Paris,,,FRA,Europe/Paris,Stroke,,Full,Olympic Men's Golf Competition,,Le Golf National,"Paris, France"
7,610,3M Open,2024-07-25,2024-07-28,False,False,TPC Twin Cities,"Blaine, MN",71.0,7431.0,8300000.0,,False,True,Blaine,MN,,USA,America/Chicago,Stroke,,Full,3M Open,3M Open,TPC Twin Cities,"Blaine, MN"
8,581,The Open,2024-07-18,2024-07-21,False,False,Royal Troon Golf Course,"Troon, Scotland",71.0,7190.0,,,False,True,"Troon, South Ayrshire",,,SCO,Europe/London,Stroke,,Full,The Open Championship,The Open,Royal Troon Golf Course,"Troon, Scotland"
9,609,Barracuda Championship,2024-07-18,2024-07-21,False,False,Tahoe Mountain Club (Old Greenwood),"Truckee, CA",71.0,7480.0,4000000.0,,False,False,Truckee,CA,,USA,America/Los Angeles,Stableford,,Limited,Barracuda Championship,Barracuda Championship,Tahoe Mountain Club (Old Greenwood),"Truckee, CA"
10,627,Kentucky Championship,2024-07-11,2024-07-14,False,False,Keene Trace Golf Club (Champions Course),"Nicholasville, KY",72.0,7328.0,4000000.0,,False,True,Nicholasville,KY,,USA,America/New York,Stroke,,Full,Barbasol Championship,Kentucky Championship,Keene Trace Golf Club (Champions Course),"Nicholasville, KY"
11,608,Genesis Scottish Open,2024-07-11,2024-07-14,False,False,The Renaissance Club,"North Berwick, Scotland",70.0,7237.0,9000000.0,,False,True,North Berwick,,,SCO,Europe/London,Stroke,,Full,Genesis Scottish Open,Genesis Scottish Open,The Renaissance Club,"North Berwick, Scotland"
